Unix Time,Temperature,Humidity
1636806272.0,29.96,39.77
1636806604.0,27.65,48.62
1636806277.0,29.72,40.05
1636806609.0,27.67,48.63
1636806614.0,27.72,48.54
1636806619.0,27.76,48.43
1636806624.0,27.75,48.38
1636806629.0,27.76,48.39
1636806635.0,27.83,48.41
1636806640.0,27.83,48.54
1636806645.0,27.89,48.47
1636806650.0,27.92,48.47
1636812493.0,27.54,52.64
1636812498.0,27.55,52.64
1636812526.0,27.54,52.94
1636812531.0,27.48,53.32
1636812536.0,27.43,53.73
1636812541.0,27.36,53.74
1636812546.0,27.30,53.76
1636812551.0,27.26,53.91
1636812556.0,27.21,53.80
1636812561.0,27.18,53.79
1636812566.0,27.14,53.86
1636816906.0,26.39,55.79
1636816911.0,26.40,55.73
1636816916.0,26.40,55.65
1636816921.0,26.40,55.65
1636812572.0,27.08,54.02
1636816926.0,26.39,55.66
1636816932.0,26.39,55.67
1636816937.0,26.37,55.60
1636816942.0,26.36,55.61
1636816947.0,26.38,55.62
1636816952.0,26.39,55.60
1636817404.0,26.16,57.66
1636817409.0,26.14,57.71
1636817414.0,26.15,57.77
1636817419.0,26.15,57.78
1636817424.0,26.15,57.77
1636817429.0,26.15,57.78
1636817434.0,26.17,57.74
1636817439.0,26.16,57.76
1636817444.0,26.16,57.80
1636817450.0,26.17,57.79
1636821004.0,25.32,57.79
1636821009.0,25.29,57.81
1636821014.0,25.28,57.86
1636821019.0,25.28,57.96
1636821024.0,25.29,57.92
1636821029.0,25.29,57.93
1636821034.0,25.29,57.92
1636821039.0,25.30,57.90
1636821044.0,25.31,57.88
1636821049.0,25.32,57.83
1636825331.0,24.80,57.99
1636825336.0,24.78,58.05
1636825341.0,24.76,58.00
1636825346.0,24.73,57.93
1636825351.0,24.69,57.80
1636825356.0,24.66,57.68
1636825361.0,24.65,57.51
1636825366.0,24.63,57.33
1636825372.0,24.63,57.18
1636825377.0,24.62,57.07
1636828203.0,24.08,63.54
1636828208.0,24.06,63.27
1636828213.0,24.05,63.23
1636828218.0,24.07,63.32
1636828223.0,24.09,63.37
1636828228.0,24.10,63.39
1636828234.0,24.12,63.31
1636828239.0,24.10,63.06
1636828244.0,24.08,62.89
1636828249.0,24.05,62.79
1636831901.0,23.13,66.98
1636831906.0,23.11,67.05
1636831911.0,23.11,67.08
1636831916.0,23.11,67.10
1636831921.0,23.12,67.12
1636831926.0,23.13,67.17
1636831931.0,23.14,67.22
1636831936.0,23.13,67.23
1636831941.0,23.12,67.19
1636872109.0,27.12,50.12
1636872114.0,27.15,49.99
1636872119.0,27.19,49.92
1636872124.0,27.23,49.83
1636872129.0,27.26,49.77
1636872134.0,27.30,49.80
1636872139.0,27.35,49.81
1636872144.0,27.37,49.76
1636872149.0,27.37,49.62
1636872154.0,27.38,49.53
1636894347.0,33.72,30.98
1636894352.0,33.59,30.71
1636894357.0,33.49,30.58
1636894362.0,33.41,30.52
1636894367.0,33.36,30.56
1636894372.0,33.40,30.64
1636894377.0,33.46,30.65
1636894382.0,33.53,30.59
1636894387.0,33.54,30.59
1636894392.0,33.49,30.67
1636894519.0,34.28,30.26
1636894525.0,34.29,30.28
1636894530.0,34.31,30.25
1636894535.0,34.33,30.11
1636894540.0,34.35,29.99
1636894545.0,34.37,29.99
1636894550.0,34.39,30.08
1636894555.0,34.37,29.92
1636894560.0,34.25,29.85
1636894565.0,34.14,30.15
1636896605.0,33.04,37.27
1636896610.0,33.00,37.53
1636896615.0,33.00,38.00
1636896620.0,33.00,38.04
1636896625.0,33.01,37.98
1636896630.0,33.01,37.71
1636896635.0,33.01,37.41
1636896640.0,33.05,37.50
1636896645.0,33.09,37.66
1636896650.0,33.10,37.50
1636898121.0,43.58,20.27
1636898126.0,43.37,20.46
1636898131.0,43.39,20.57
1636898136.0,43.67,20.51
1636898141.0,43.91,20.31
1636898146.0,44.34,20.15
1636898151.0,44.76,19.79
1636898156.0,45.05,19.43
1636898161.0,45.17,19.28
1636900204.0,41.81,22.48
1636900209.0,41.96,22.44
1636900214.0,42.06,22.32
1636900219.0,41.91,22.23
1636900224.0,42.01,22.26
1636900229.0,41.83,22.28
1636900234.0,41.61,22.47
1636900239.0,41.72,22.54
1636900244.0,41.92,22.40
1636903893.0,31.13,44.16
1636903898.0,31.14,44.15
1636903903.0,31.18,44.08
1636903908.0,31.23,43.97
1636903913.0,31.23,43.98
1636903918.0,31.19,44.01
1636903923.0,31.14,44.06
1636903928.0,31.12,44.11
1636903933.0,31.14,44.09
1636903938.0,31.14,44.06
1636904908.0,29.83,45.69
1636904913.0,29.82,45.67
1636904918.0,29.75,45.76
1636904923.0,29.71,45.84
1636904928.0,29.75,45.86
1636904933.0,29.75,45.82
1636904938.0,29.70,45.74
1636904943.0,29.68,45.79
1636904948.0,29.70,45.80
1636904953.0,29.75,45.76
1636905320.0,29.41,45.76
1636905325.0,29.42,45.76
1636905330.0,29.42,45.77
1636905335.0,29.39,45.86
1636905340.0,29.35,45.96
1636905345.0,29.34,46.06
1636905350.0,29.31,46.18
1636905355.0,29.28,46.27
1636905360.0,29.26,46.29
1636905366.0,29.26,46.28
1636910970.0,26.39,46.99
1636910975.0,26.40,46.92
1636910980.0,26.41,46.92
1636910985.0,26.42,46.91
1636910990.0,26.44,47.00
1636910995.0,26.44,46.98
1636911004.0,26.46,46.92
1636911009.0,26.46,47.07
1636911014.0,26.47,47.22
1636911020.0,26.46,47.38
1636911025.0,26.44,47.48
1636911030.0,26.41,47.39
1636911035.0,26.40,47.39
1636911040.0,26.39,47.38
1636911045.0,26.40,47.43
1636911050.0,26.40,47.45
1636919573.0,22.09,64.69
1636919578.0,22.04,64.79
1636919583.0,22.00,64.89
1636919588.0,21.99,65.08
1636919593.0,21.98,65.15
1636919598.0,21.98,64.93
1636919603.0,21.99,64.85
1636919608.0,21.98,65.00
1636919613.0,21.99,65.10
1636919618.0,22.01,65.05
1636957807.0,27.58,45.98
1636957812.0,27.59,46.03
1636957817.0,27.61,45.94
1636957822.0,27.62,45.75
1636957827.0,27.63,45.62
1636957832.0,27.66,45.48
1636957837.0,27.67,45.35
1636957843.0,27.70,45.28
1636957848.0,27.73,45.23
1636957853.0,27.75,44.94
1636959322.0,27.48,45.87
1636959327.0,27.51,45.83
1636959332.0,27.50,45.59
1636959337.0,27.47,45.60
1636959342.0,27.39,45.50
1636959347.0,27.28,45.30
1636959352.0,27.14,44.94
1636959357.0,27.06,44.85
1636959362.0,27.02,45.10
1636993804.0,28.15,46.32
1636993809.0,28.13,46.43
1636993814.0,28.11,46.53
1636993819.0,28.11,46.56
1636993824.0,28.09,46.53
1636993829.0,28.08,46.57
1636993834.0,28.05,46.61
1636993839.0,28.01,46.68
1636993844.0,27.99,46.72
1636993849.0,28.00,46.71
1636997404.0,25.79,54.92
1636997409.0,25.80,54.88
1636997414.0,25.82,54.85
1636997419.0,25.81,54.61
1636997424.0,25.80,54.36
1636997429.0,25.79,54.28
1636997434.0,25.75,54.28
1636997439.0,25.74,54.33
1636997444.0,25.73,54.37
1636997449.0,25.74,54.41
1637001004.0,26.02,57.00
1637001009.0,26.02,56.96
1637001014.0,26.02,56.92
1637001019.0,26.00,56.89
1637001024.0,25.98,56.91
1637001029.0,25.97,57.00
1637001034.0,25.96,57.03
1637001039.0,25.96,57.08
1637001044.0,25.96,57.07
1637001049.0,25.94,57.04
1637044204.0,26.19,52.62
1637044209.0,26.20,52.51
1637044214.0,26.20,52.40
1637044219.0,26.20,52.42
1637044224.0,26.20,52.51
1637044229.0,26.22,52.57
1637044234.0,26.23,52.59
1637044239.0,26.25,52.52
1637044244.0,26.26,52.52
1637044250.0,26.26,52.61
1637047803.0,27.65,49.61
1637047808.0,27.66,49.58
1637047813.0,27.67,49.51
1637047818.0,27.65,49.44
1637047823.0,27.65,49.37
1637047829.0,27.65,49.49
1637047834.0,27.66,49.66
1637047839.0,27.67,49.69
1637047844.0,27.67,49.76
1637047849.0,27.67,49.81
1637051403.0,28.33,48.56
1637051408.0,28.34,48.48
1637051413.0,28.35,48.47
1637051418.0,28.36,48.43
1637051423.0,28.38,48.47
1637051429.0,28.40,48.45
1637051434.0,28.38,47.96
1637051439.0,28.35,47.61
1637051444.0,28.35,47.63
1637059610.0,29.83,42.03
1637059615.0,29.82,42.18
1637059620.0,29.86,42.25
1637059625.0,29.89,42.39
1637059630.0,29.90,42.45
1637059635.0,29.93,42.85
1637059640.0,29.96,43.31
1637059645.0,29.99,43.37
1637059650.0,30.00,42.97
1637059655.0,30.01,43.19
1637059788.0,29.95,44.33
1637059793.0,29.97,44.23
1637059798.0,29.95,43.98
1637059803.0,29.93,43.80
1637059808.0,29.94,44.03
